source_file,substation,raw_segment
22.pdf,Канівська філія,Комарова
22.pdf,Канівська філія,Канівська
22.pdf,Канівська філія,Чупилки
22.pdf,Канівська філія,Завойка
22.pdf,Канівська філія,Івана
22.pdf,Канівська філія,Підкови
22.pdf,Канівська філія,Садова
22.pdf,Канівська філія,Степова
22.pdf,Канівська філія,Щаслива
22.pdf,Канівська філія,Шкільна
22.pdf,Канівська філія,Горького
22.pdf,Канівська філія,Чупилки
22.pdf,Жашківська філія,Беспечна
22.pdf,Жашківська філія,Конела
22.pdf,Жашківська філія,Соколівка
22.pdf,Жашківська філія,Вільшанка
22.pdf,Жашківська філія,Марійка
22.pdf,Жашківська філія,Конело
22.pdf,Жашківська філія,"Хутори, Конело"
22.pdf,Жашківська філія,Попівка
22.pdf,Маньківська філія,Миру
22.pdf,Маньківська філія,Білокур
22.pdf,Маньківська філія,Молодіжна
22.pdf,Маньківська філія,Чуйкова
22.pdf,Маньківська філія,Довга
22.pdf,Маньківська філія,Степова
22.pdf,Маньківська філія,Риженко
22.pdf,Маньківська філія,Населення
22.pdf,Монастирищенська філія,населення
22.pdf,Монастирищенська філія,населення
22.pdf,Монастирищенська філія,Тищика
22.pdf,Монастирищенська філія,Шевченка
22.pdf,Монастирищенська філія,Лісна
22.pdf,Монастирищенська філія,Стуса
22.pdf,Монастирищенська філія,Заводська
22.pdf,Монастирищенська філія,Мазепи
22.pdf,Монастирищенська філія,Вокзальна
22.pdf,Монастирищенська філія,Михайла
22.pdf,Христинівська філія,Панченків
22.pdf,Христинівська філія,Набережна
22.pdf,Христинівська філія,Дружби
22.pdf,Христинівська філія,Заводська
22.pdf,Христинівська філія,Вишнева
22.pdf,Христинівська філія,Польова
22.pdf,Христинівська філія,Сонячна
22.pdf,Христинівська філія,Набережна
22.pdf,Христинівська філія,Мічуріна
22.pdf,Христинівська філія,Польова
22.pdf,Христинівська філія,Молодіжна
22.pdf,Христинівська філія,Незалежна
22.pdf,Христинівська філія,Сято
22.pdf,Христинівська філія,ЧкТЕЦ
31.pdf,Городищенська філія,Шевченка
31.pdf,Городищенська філія,Короленка
31.pdf,Городищенська філія,Зоряна
31.pdf,Городищенська філія,Миру
31.pdf,Городищенська філія,Травнева
31.pdf,Городищенська філія,Нова
31.pdf,Городищенська філія,Свободи
31.pdf,Городищенська філія,Набережна
31.pdf,Городищенська філія,Пушкiна
31.pdf,Городищенська філія,Молодiжна
31.pdf,Городищенська філія,Гоголя
31.pdf,Городищенська філія,Захарова
31.pdf,Городищенська філія,Нижня
31.pdf,Городищенська філія,Набережна
31.pdf,Городищенська філія,Кривоноса
